HIP,Vmag,r_Vmag,RAdeg,DEdeg,Plx,B-V,e_B-V,r_B-V
1,9.1,H,000.00091185,1.08901332,3.54,0.482,0.025,T
2,9.27,G,000.00379737,-19.49883745,21.9,0.999,0.002,G
3,6.61,G,000.00500795,38.85928608,2.81,-0.019,0.004,G
4,8.06,H,000.00838170,-51.89354612,7.75,0.37,0.009,T
5,8.55,H,000.00996534,-40.5912244,2.87,0.902,0.013,T
6,12.31,G,000.01814144,3.94648893,18.8,1.336,0.02,G
7,9.64,G,000.02254891,20.03660216,17.74,0.74,0.02,G
8,9.05,H,000.02729160,25.88647445,5.17,1.102,0.051,T
9,8.59,H,000.03534189,36.58593777,4.81,1.067,0.023,T
10,8.59,H,000.03625309,-50.8670736,10.76,0.489,0.011,T
11,7.34,H,000.03729695,46.94000154,4.29,0.081,0.007,T
12,8.43,H,000.04091756,-35.96022482,4.06,1.484,0.02,T
13,8.8,H,000.04167970,-22.5946806,3.49,1.128,0.023,T
14,7.25,G,000.04827189,-0.36042119,5.11,1.2,0.015,G
15,8.6,H,000.05030890,50.79117384,2.45,1.166,0.018,T
17,8.15,H,000.05109957,-40.19232842,6.15,0.425,0.007,G
16,11.71,G,000.05140852,-54.91412819,0.53,0.421,0.015,G
18,11.03,G,000.05313923,-4.05373813,19.93,1.567,0.197,G
19,6.53,H,000.05331696,38.30408636,4.12,0.955,0.005,G
20,8.51,G,000.06295050,23.52928397,10.76,0.516,0.015,G
21,7.55,H,000.06623569,8.00723437,5.84,1.438,0.017,T
22,8.69,H,000.07013593,-49.35226686,4.47,0.962,0.014,T
23,7.57,G,000.07442930,13.31221083,12.21,0.456,0.015,G
24,9.05,H,000.07604979,-23.45274913,9.73,0.528,0.015,T
25,6.28,G,000.07936537,-44.29029741,13.74,0.763,0.003,G
26,9.13,H,000.08434579,-13.39329686,9.19,0.535,0.02,T
27,9.32,H,000.08546976,-41.29753696,9.66,0.671,0.017,T
28,8.83,H,000.08724871,-43.36179962,5.64,0.468,0.013,T
29,9.14,H,000.09213106,-49.10795505,2.85,1.041,0.02,T
30,8.26,H,000.09613563,42.14149882,3.79,0.142,0.01,T
31,7.63,H,000.09809390,2.67547768,1.84,1.453,0.018,T
32,9.09,H,000.09858375,51.9394905,3.1,0.04,0.017,T
33,8.1,H,000.09918083,-10.46245445,8.94,0.466,0.015,G
34,6.43,H,000.09946973,26.91823821,12.71,0.514,0.005,T
35,9.07,H,000.10256052,-14.49048072,5.96,0.916,0.004,G
36,7.68,H,000.10327550,12.26709303,6.3,1.15,0.014,T
37,10.44,H,000.10535190,-47.17958382,3.74,0.391,0.045,T
38,8.65,H,000.11104694,-79.06183133,23.84,0.778,0.015,T
39,7.46,G,000.11186148,-16.6969302,10.98,0.475,0.009,T
41,8.7,H,000.11656351,54.30223774,3.42,0.026,0.013,T
40,10.61,G,000.12196971,67.21679125,-3.4,0.57,0.042,G
42,8.2,G,000.12538666,25.84478059,6.38,0.387,0.012,G
43,6.18,H,000.12908900,59.55973786,7.63,1.032,0.005,T
44,7.91,H,000.13272230,-3.30636174,2.41,1.104,0.018,T
45,9.59,H,000.13420453,-72.20271031,15.1,,,
46,8.57,H,000.13454429,-25.62225277,1.19,1.035,0.016,T
47,10.78,G,000.13519236,-56.83524773,24.45,1.15,0.02,G
48,7.31,H,000.13522264,-40.69044664,1.86,1.164,0.008,T
49,9.53,H,000.13950066,16.66903183,1.59,0.45,0.03,T
50,6.49,G,000.14287059,-53.09766277,16.89,0.616,0.005,G
51,8.94,H,000.14339044,1.06619726,0.41,0.906,0.024,T
52,8.56,H,000.14665879,-77.0201405,3.95,0.196,0.023,T
53,10.96,H,000.14739023,-29.26338247,-1.76,,,
54,10.57,G,000.15165558,17.96895579,20.97,1.03,0.015,G
55,7.4,G,000.15783323,-66.68310336,14.66,0.551,0.015,G
56,8.12,H,000.16283175,0.22293899,3.47,1.329,0.019,T
57,8.27,H,000.16828557,-69.67580068,33.89,0.863,0.012,T
58,7.05,H,000.17376341,62.17600484,26.06,0.52,0.007,T
59,9.09,H,000.17444749,55.72246267,-0.06,0.091,0.03,T
60,8.34,H,000.17542318,-64.46582516,6.18,0.386,0.014,T
61,8.86,H,000.17615726,53.82218625,5.6,1.081,0.02,T
62,8.27,H,000.17996123,-45.42272731,5.28,0.994,0.012,T
63,6.36,H,000.18174950,45.25333305,4.81,-0.047,0.005,T
64,8.08,H,000.18458893,-27.90754614,3.45,1.156,0.014,T
65,11,G,000.18797532,-54.83034057,16.98,1.147,0.005,G
66,8.55,H,000.18854917,-72.31824913,8.18,0.401,0.023,G
67,7.83,G,000.19910132,23.53824873,7.48,0.495,0.015,G
68,8.79,H,000.20063628,16.98896499,31.8,0.94,0.015,G
69,8.33,H,000.20137175,30.39589283,6.35,0.135,0.017,T
70,10.42,H,000.20280014,36.77763945,5.25,0.706,0.072,T
71,8.26,H,000.20709981,36.78015328,9.13,0.846,0.016,T
72,8.97,H,000.21946989,-12.82867015,10.63,0.671,0.002,G
73,6.9,H,000.22045719,66.84796687,3.97,1.446,0.01,T
74,9.93,H,000.22187281,35.75272213,24.22,1.068,0.066,T
75,7.42,H,000.22316216,-50.446465,1.6,1.524,0.02,G
76,9.03,H,000.22821959,32.82567452,2.29,1.67,0.05,T
77,8.41,G,000.23052169,-30.06417333,3.53,0.022,0.009,G
78,8.06,H,000.23231307,17.86784193,1.17,1.203,0.017,T
79,8.69,H,000.23572286,35.31675386,4.57,0.529,0.02,T
80,8.4,G,000.24179216,-11.82353722,15.59,0.566,0.015,G
81,8.57,G,000.24386443,-4.93211471,23.43,0.642,0.002,G
82,9.5,G,000.24803173,-10.9358054,1.82,1.107,0.015,G
83,8.85,H,000.24808100,52.08056444,2.28,1.726,0.037,T
84,9.61,H,000.25180722,27.88634368,18.9,0.852,0.046,T
85,10.62,G,000.25600730,-24.71404902,3.9,0.359,0.019,G
86,8.05,H,000.26038262,69.6034983,3.47,0.018,0.011,T
87,7.8,G,000.26151556,-5.83497569,4.52,0.43,0.015,G
88,5.71,H,000.26915958,-48.80985919,5.97,0.911,0.001,G
89,7.87,H,000.27715178,53.16694253,2.6,1.566,0.014,T
90,7.64,H,000.27999988,-41.88742972,9.35,0.5,0.015,G
91,7.66,H,000.28056847,-5.87433293,4.21,1.3,0.014,T
92,8.68,H,000.29062512,-20.70558648,4.77,0.944,0.018,T
93,8.12,G,000.29222255,-0.07592034,16.74,0.619,0.015,G
94,10.1,H,000.29485302,-32.75680569,10.48,0.644,0.035,T
95,8.67,H,000.30203883,-11.96400015,7.85,0.513,0.012,T
96,10.46,G,000.30489357,13.97474826,19.83,1.36,0.01,G
98,9.87,H,000.30717811,-52.79857954,6.49,0.551,0.022,T
97,9.48,H,000.30733362,-21.40404527,5.52,0.53,0.024,T
99,7.04,H,000.31601620,60.35529798,1.27,2.835,0.04,T
100,8.44,H,000.31645128,19.74131648,4.49,0.898,0.015,G
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
